Row Labels, NWorksheets, NFormulas, NRelatedWorksheets, NErrorCells, NNamedRanges, NFormulasReferring, NFormulasReferred, NFormulasOnce, NFormulasMore, NFormulasMost, NFunctions, NUDF, NFunctionsUsingList9
101423_China new lending update - thru Dec 2010.xlsx,3,661,1,0,0,6,4,0,7,177,4,0,0
"101424_Rashid, Sarmed time sheet.xls",1,5,0,0,0,2,4,1,4,4,2,0,0
101440_Weekly Confederation Project Updates.xls,4,0,0,0,0,0,0,0,0,0,0,0,0
10146_Land Acquistions.xlsx,3,12,0,0,0,2,4,0,2,6,2,0,0
101475_Electricity Generating Plants Table.xlsx,1,0,0,0,0,0,0,0,0,0,0,0,0
101485_Tajikistan timeline.xls,1,6,0,0,0,1,1,0,1,6,0,0,0
101496_uzbekistan timeline - melissa update 041410.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
101504_us nuclear summit - sideline meetings.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
101517_Kyrgyzstan Timeline.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
101522_japan.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101525_china - trade update - 20110310.xlsx,1,136,0,0,0,1,2,0,1,136,1,0,0
101533_commodities.xls,8,5,0,0,0,0,0,5,0,1,10,0,0
101545_libya - import dependence on libyan oil.xlsx,1,60,0,0,0,5,6,1,4,19,5,0,0
101551_Iraqi raids - 100419.xls,4,0,0,0,0,0,0,0,0,0,0,0,0
101553_European Air Freight.xls,5,26,0,0,0,4,15,0,4,15,4,0,0
101555_japan - power plants - geocoded.xls,2,0,0,0,0,0,0,0,0,0,0,0,0
101570_Stech - Bund Assignment.xls,3,50,0,0,0,0,0,0,1,50,0,0,0
101584_STRATFOR Language Capabilities.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
101597_MARKO - CFR organizations.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
101602_Iraqi raids - 100419.xls,4,0,0,0,0,0,0,0,0,0,0,0,0
"101609_Fuk, Miy, Iba, Iwat, Total.xlsx",1,0,0,0,0,0,0,0,0,0,0,0,0
101611_monthly energy supply demand japan.xls,6,0,0,0,0,0,0,0,0,0,0,0,0
101614_Powers Time Sheet 100409.xls,1,5,0,0,0,2,4,1,4,4,2,0,0
101615_us nuclear summit - sideline meetings-3.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
101629_Japan - Manuf Industry Shares.xlsx,1,0,0,0,0,0,0,0,0,0,0,0,0
101631_vz.econ - prices - 20100405.xls,4,8,0,0,0,5,5,4,1,4,6,0,0
101632_Richmond - Chinese oil exporters.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
101637_Yemen Oil.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101641_supply demand .xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101662_North Caucasus Food Consumption.xlsx,3,0,0,0,0,0,0,0,0,0,0,0,0
101674_Mining.xls,6,12,0,0,0,3,6,0,3,5,3,0,0
101677_Corn.xls,8,112,0,1,0,3,8,1,2,108,5,0,0
101678_Wheat.xls,6,0,0,0,0,0,0,0,0,0,0,0,0
101679_Soy.xls,4,0,0,0,0,0,0,0,0,0,0,0,0
101680_Rice.xls,10,27,0,0,0,5,7,3,2,14,6,0,0
101682_interest rates EUROPE.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
1017_GIA-CIS Metrics Aug06.xls,9,699,0,0,0,117,90,206,102,9,285,0,0
101710_Niger Delta Attacks.xls,4,4049,1,0,0,85,27,705,58,364,733,0,3
101713_latam - china.xls,3,2,0,0,0,1,2,0,1,2,1,0,0
101730_kyrgyzstan timeline2.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
101737_Weekly Confederation Project Updates.xls,4,0,0,0,0,0,0,0,0,0,0,0,0
101741_Europe Government Finances.xls,3,32,0,0,0,15,17,5,10,3,15,0,0
101742_georgia - external debt by counterparty - feb 2011.xlsx,2,37,0,0,0,3,5,0,3,13,3,0,0
101749_georgia - external debt by counterparty - feb 2011.xlsx,1,0,0,0,0,0,0,0,0,0,0,0,0
101759_CHINA ECON PPI.xlsx,3,0,0,0,0,0,0,0,0,0,0,0,0
10176_Participant list - contact status.xlsx,1,0,0,0,0,0,0,0,0,0,0,0,0
101768_eu.econ - cross border bank sector exposure.xlsx,13,52,0,11,0,2,4,11,2,31,2,0,0
101783_Copy of Internship Program - Applicant List - Summer 2010.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
101784_Powers Time Sheet 100325.xls,1,5,0,0,0,2,4,1,4,4,2,0,0
101787_TEPCO Fuel Usage.xlsx,1,338,0,0,0,8,22,0,8,104,9,0,0
101794_tokyo avg temp monthly.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101799_deployment schedule.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
101803_georgia timeline1.xlsx,1,0,0,0,0,0,0,0,0,0,0,0,0
101804_us nuclear summit - sideline meetings.xls,1,0,0,0,0,0,0,0,0,0,0,0,0
101832_Japan Trains.xlsx,3,0,0,0,0,0,0,0,0,0,0,0,0
101845_EU Opinion.xls,8,120,1,0,0,7,14,8,1,112,15,0,0
101849_Brazil-China Trade.xls,2,0,0,0,0,0,0,0,0,0,0,0,0
101850_israel - events.xlsx,2,0,0,0,0,0,0,0,0,0,0,0,0
101877_Iran espionage articles.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101888_quarterly GR for China.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101890_japan.econ - public finance.xls,1,7,0,0,0,1,2,0,1,7,1,0,0
101900_lukoil.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101907_Ukraine Maps Links.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101911_Russian Federation Budget 2000-2010.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101914_manuf percentage.xls,11,40,0,0,0,12,28,6,9,5,24,0,0
101915_Historical World Oil Trade.xls,4,27,0,0,0,1,2,0,1,27,1,0,0
101916_GDP and oil.xls,3,0,0,0,0,0,0,0,0,0,0,0,0
101922_5626_Avance_de_la_Politica_de_Defensa_y_Seguridad_-__Excel.xls,2,2190,2,0,0,161,179,47,131,1243,176,0,1
101927_US Mexico Border Statistics.xls,3,22,0,0,0,2,0,0,2,11,2,0,0
101931_Bookmarks 184-.xlsx,1,0,0,0,0,0,0,0,0,0,0,0,0
